vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr,fold
mch,0.85,0.82,0.45,0.59,0.26,0.15,0.45,0.37,0.23,0.15,0.39,0.31,0.11,0.11,0.79,0.8,806
mhw,0.69,0.71,0.34,0.39,0.2,0.05,0.36,0.43,0.19,0.12,0.3,0.36,0.16,0.16,0.71,0.78,806
smc,0.77,0.75,0.35,0.45,0.6,0.26,0.51,0.43,0.45,0.2,0.38,0.36,0.15,0.15,0.79,0.81,806
mch,0.84,0.82,0.44,0.61,0.2,0.14,0.48,0.33,0.17,0.13,0.38,0.26,0.11,0.11,0.78,0.79,807
mhw,0.66,0.7,0.31,0.39,0.41,0.23,0.24,0.39,0.29,0.19,0.21,0.33,0.16,0.16,0.73,0.75,807
smc,0.77,0.74,0.43,0.51,0.19,0.51,0.23,0.5,0.21,0.44,0.24,0.43,0.15,0.15,0.79,0.83,807
mch,0.83,0.81,0.35,0.46,0.3,0.13,0.38,0.22,0.23,0.12,0.32,0.19,0.11,0.11,0.79,0.76,808
mhw,0.71,0.74,0.24,0.29,0.44,0.21,0.07,0.33,0.32,0.18,0.12,0.29,0.16,0.16,0.74,0.76,808
smc,0.78,0.76,0.34,0.45,0.22,0.56,0.33,0.41,0.21,0.38,0.28,0.31,0.15,0.15,0.77,0.81,808
mch,0.84,0.81,0.3,0.36,0.18,0.1,0.57,0.24,0.16,0.11,0.46,0.22,0.11,0.11,0.79,0.79,809
mhw,0.71,0.73,0.29,0.37,0.34,0.1,0.27,0.52,0.24,0.12,0.25,0.43,0.16,0.16,0.73,0.79,809
smc,0.78,0.76,0.54,0.66,0.32,0.45,0.29,0.39,0.26,0.34,0.24,0.31,0.15,0.15,0.78,0.81,809
mch,0.84,0.82,0.41,0.55,0.14,0.1,0.38,0.32,0.14,0.12,0.3,0.24,0.11,0.11,0.76,0.77,810
mhw,0.73,0.72,0.28,0.34,0.23,0.07,0.3,0.48,0.21,0.14,0.25,0.39,0.16,0.16,0.76,0.79,810
smc,0.78,0.77,0.18,0.18,0.23,0.45,0.3,0.24,0.18,0.35,0.26,0.23,0.15,0.15,0.76,0.8,810
mch,0.83,0.81,0.43,0.55,0.27,0.14,0.37,0.24,0.23,0.14,0.32,0.22,0.11,0.11,0.79,0.76,811
mhw,0.7,0.73,0.29,0.33,0.41,0.12,0.1,0.42,0.31,0.16,0.15,0.35,0.16,0.16,0.71,0.76,811
smc,0.78,0.75,0.51,0.64,0.4,0.59,0.39,0.43,0.31,0.42,0.31,0.34,0.15,0.15,0.78,0.81,811
mch,0.84,0.82,0.45,0.62,0.28,0.17,0.47,0.32,0.21,0.14,0.39,0.25,0.11,0.11,0.79,0.78,812
mhw,0.67,0.7,0.3,0.35,0.42,0.22,0.23,0.45,0.29,0.18,0.21,0.37,0.16,0.16,0.73,0.76,812
smc,0.76,0.74,0.49,0.57,0.22,0.5,0.26,0.5,0.24,0.44,0.26,0.43,0.15,0.15,0.78,0.83,812
mch,0.84,0.82,0.35,0.49,0.12,0.11,0.26,0.3,0.14,0.13,0.24,0.24,0.11,0.11,0.75,0.75,813
mhw,0.73,0.74,0.22,0.23,0.23,0.14,0.2,0.42,0.2,0.17,0.2,0.34,0.16,0.16,0.76,0.77,813
smc,0.76,0.74,0.3,0.38,0.32,0.38,0.33,0.29,0.25,0.28,0.29,0.26,0.15,0.15,0.72,0.77,813
mch,0.83,0.81,0.31,0.4,0.3,0.12,0.34,0.17,0.23,0.11,0.29,0.16,0.11,0.11,0.8,0.75,814
mhw,0.71,0.74,0.28,0.35,0.44,0.22,0.06,0.29,0.32,0.18,0.12,0.26,0.16,0.16,0.74,0.76,814
smc,0.78,0.77,0.24,0.33,0.15,0.54,0.25,0.32,0.17,0.36,0.25,0.26,0.15,0.15,0.77,0.81,814
mch,0.84,0.81,0.42,0.54,0.3,0.19,0.5,0.36,0.24,0.17,0.43,0.33,0.11,0.11,0.81,0.78,815
mhw,0.69,0.72,0.45,0.53,0.11,0.05,0.41,0.53,0.15,0.13,0.32,0.43,0.16,0.16,0.72,0.8,815
smc,0.79,0.76,0.51,0.65,0.33,0.36,0.13,0.21,0.26,0.23,0.14,0.21,0.15,0.15,0.81,0.83,815
mch,0.83,0.81,0.38,0.5,0.29,0.14,0.37,0.16,0.23,0.13,0.31,0.13,0.11,0.11,0.79,0.79,816
mhw,0.72,0.73,0.26,0.32,0.07,0.1,0.27,0.4,0.11,0.13,0.23,0.34,0.16,0.16,0.76,0.79,816
smc,0.78,0.75,0.56,0.7,0.44,0.59,0.49,0.51,0.32,0.43,0.35,0.39,0.15,0.15,0.79,0.81,816
mch,0.84,0.82,0.48,0.6,0.3,0.17,0.39,0.27,0.22,0.15,0.32,0.24,0.11,0.11,0.79,0.79,817
mhw,0.7,0.73,0.27,0.32,0.23,0.14,0.13,0.32,0.21,0.17,0.17,0.3,0.16,0.16,0.74,0.77,817
smc,0.77,0.75,0.69,0.78,0.56,0.59,0.49,0.57,0.46,0.48,0.43,0.48,0.15,0.15,0.77,0.81,817
mch,0.83,0.81,0.39,0.5,0.34,0.18,0.42,0.22,0.24,0.15,0.32,0.2,0.11,0.11,0.79,0.78,818
mhw,0.71,0.73,0.28,0.3,0.22,0.13,0.25,0.36,0.23,0.16,0.25,0.33,0.16,0.16,0.74,0.78,818
smc,0.78,0.74,0.57,0.65,0.43,0.58,0.16,0.14,0.36,0.47,0.2,0.17,0.15,0.15,0.78,0.83,818
mch,0.84,0.81,0.64,0.74,0.22,0.19,0.26,0.22,0.17,0.15,0.23,0.2,0.11,0.11,0.79,0.78,819
mhw,0.71,0.73,0.23,0.25,0.24,0.1,0.09,0.4,0.23,0.14,0.15,0.33,0.16,0.16,0.74,0.79,819
smc,0.77,0.74,0.77,0.85,0.62,0.6,0.5,0.51,0.5,0.47,0.43,0.42,0.15,0.15,0.75,0.78,819
mch,0.84,0.82,0.41,0.55,0.17,0.14,0.33,0.21,0.15,0.13,0.3,0.18,0.11,0.11,0.77,0.76,820
mhw,0.67,0.7,0.29,0.32,0.43,0.21,0.26,0.56,0.33,0.19,0.24,0.47,0.16,0.16,0.73,0.78,820
smc,0.77,0.73,0.55,0.64,0.32,0.53,0.25,0.32,0.29,0.44,0.23,0.28,0.15,0.15,0.78,0.83,820
mch,0.83,0.81,0.6,0.73,0.2,0.16,0.38,0.32,0.16,0.14,0.32,0.26,0.11,0.11,0.78,0.78,821
mhw,0.7,0.72,0.23,0.24,0.35,0.13,0.2,0.54,0.28,0.16,0.21,0.43,0.16,0.16,0.72,0.79,821
smc,0.77,0.75,0.75,0.83,0.54,0.55,0.52,0.55,0.42,0.43,0.43,0.45,0.15,0.15,0.79,0.79,821
mch,0.83,0.81,0.5,0.61,0.16,0.12,0.37,0.28,0.15,0.13,0.36,0.26,0.11,0.11,0.77,0.77,822
mhw,0.69,0.7,0.39,0.48,0.07,0.07,0.34,0.46,0.13,0.14,0.29,0.4,0.16,0.16,0.75,0.75,822
smc,0.77,0.74,0.54,0.67,0.63,0.5,0.52,0.43,0.49,0.38,0.41,0.35,0.15,0.15,0.76,0.81,822
mch,0.83,0.81,0.47,0.59,0.16,0.14,0.41,0.3,0.15,0.14,0.39,0.27,0.11,0.11,0.76,0.76,823
mhw,0.69,0.7,0.41,0.5,0.2,0.06,0.38,0.45,0.19,0.14,0.32,0.38,0.16,0.16,0.72,0.75,823
smc,0.77,0.74,0.51,0.64,0.61,0.44,0.47,0.4,0.48,0.34,0.38,0.35,0.15,0.15,0.76,0.8,823
mch,0.84,0.81,0.43,0.59,0.32,0.17,0.49,0.26,0.23,0.14,0.38,0.2,0.11,0.11,0.79,0.79,824
mhw,0.68,0.72,0.29,0.33,0.16,0.19,0.25,0.43,0.16,0.18,0.22,0.35,0.16,0.16,0.74,0.77,824
smc,0.77,0.75,0.61,0.71,0.39,0.56,0.39,0.55,0.35,0.48,0.36,0.49,0.15,0.15,0.79,0.83,824
mch,0.82,0.81,0.3,0.43,0.09,0.11,0.18,0.28,0.13,0.14,0.19,0.21,0.11,0.11,0.75,0.75,825
mhw,0.73,0.73,0.23,0.26,0.26,0.12,0.24,0.45,0.23,0.16,0.23,0.36,0.16,0.16,0.76,0.78,825
smc,0.77,0.75,0.25,0.3,0.33,0.4,0.32,0.26,0.25,0.3,0.28,0.25,0.15,0.15,0.73,0.76,825
mch,0.84,0.81,0.42,0.53,0.28,0.18,0.44,0.41,0.24,0.17,0.38,0.37,0.11,0.11,0.81,0.79,826
mhw,0.7,0.72,0.45,0.52,0.07,0.04,0.41,0.52,0.14,0.12,0.33,0.41,0.16,0.16,0.73,0.81,826
smc,0.8,0.77,0.5,0.63,0.28,0.36,0.13,0.16,0.23,0.24,0.15,0.19,0.15,0.15,0.81,0.83,826
mch,0.85,0.82,0.45,0.58,0.38,0.24,0.56,0.42,0.28,0.18,0.46,0.35,0.11,0.11,0.8,0.81,827
mhw,0.69,0.71,0.33,0.38,0.14,0.02,0.32,0.4,0.16,0.1,0.27,0.33,0.16,0.16,0.73,0.78,827
smc,0.77,0.75,0.34,0.43,0.6,0.25,0.46,0.42,0.46,0.21,0.35,0.35,0.15,0.15,0.79,0.81,827
mch,0.85,0.82,0.63,0.74,0.37,0.28,0.53,0.46,0.26,0.21,0.42,0.35,0.11,0.11,0.81,0.82,828
mhw,0.71,0.73,0.25,0.29,0.1,0.08,0.07,0.31,0.15,0.13,0.13,0.3,0.16,0.16,0.76,0.76,828
smc,0.77,0.74,0.54,0.65,0.62,0.45,0.5,0.48,0.49,0.35,0.42,0.39,0.15,0.15,0.77,0.8,828
mch,0.84,0.81,0.42,0.55,0.3,0.16,0.43,0.25,0.22,0.14,0.34,0.2,0.11,0.11,0.79,0.78,829
mhw,0.7,0.72,0.28,0.31,0.2,0.18,0.28,0.37,0.19,0.19,0.26,0.34,0.16,0.16,0.74,0.77,829
smc,0.77,0.74,0.56,0.65,0.42,0.58,0.28,0.42,0.36,0.48,0.27,0.36,0.15,0.15,0.78,0.81,829
mch,0.84,0.82,0.7,0.79,0.28,0.24,0.31,0.27,0.2,0.18,0.26,0.23,0.11,0.11,0.8,0.79,830
mhw,0.71,0.73,0.23,0.25,0.19,0.1,0.07,0.33,0.21,0.14,0.13,0.3,0.16,0.16,0.75,0.76,830
smc,0.77,0.74,0.74,0.82,0.62,0.59,0.51,0.51,0.5,0.46,0.43,0.43,0.15,0.15,0.76,0.79,830
mch,0.83,0.81,0.42,0.54,0.17,0.12,0.25,0.15,0.16,0.13,0.22,0.16,0.11,0.11,0.8,0.78,831
mhw,0.68,0.71,0.54,0.63,0.37,0.26,0.28,0.41,0.31,0.25,0.26,0.34,0.16,0.16,0.71,0.78,831
smc,0.78,0.75,0.51,0.61,0.22,0.44,0.19,0.28,0.2,0.33,0.2,0.26,0.15,0.15,0.79,0.81,831
mch,0.83,0.82,0.37,0.5,0.11,0.09,0.27,0.28,0.14,0.13,0.24,0.22,0.11,0.11,0.76,0.76,832
mhw,0.73,0.73,0.24,0.27,0.27,0.1,0.28,0.46,0.23,0.15,0.24,0.37,0.16,0.16,0.76,0.79,832
smc,0.77,0.76,0.23,0.27,0.31,0.39,0.33,0.26,0.23,0.31,0.28,0.25,0.15,0.15,0.74,0.78,832
mch,0.84,0.82,0.44,0.57,0.29,0.16,0.45,0.26,0.22,0.15,0.36,0.21,0.11,0.11,0.79,0.79,833
mhw,0.7,0.72,0.28,0.32,0.2,0.17,0.26,0.38,0.18,0.18,0.23,0.34,0.16,0.16,0.74,0.77,833
smc,0.77,0.75,0.56,0.66,0.42,0.58,0.31,0.5,0.36,0.48,0.3,0.42,0.15,0.15,0.78,0.81,833
mch,0.82,0.81,0.35,0.47,0.16,0.1,0.26,0.24,0.15,0.12,0.22,0.19,0.11,0.11,0.76,0.76,834
mhw,0.72,0.73,0.27,0.31,0.25,0.11,0.23,0.45,0.23,0.15,0.22,0.38,0.16,0.16,0.74,0.78,834
smc,0.77,0.76,0.18,0.18,0.27,0.35,0.25,0.14,0.21,0.28,0.24,0.16,0.15,0.15,0.74,0.79,834
mch,0.84,0.81,0.54,0.66,0.21,0.17,0.43,0.33,0.18,0.16,0.41,0.3,0.11,0.11,0.78,0.77,835
mhw,0.68,0.7,0.43,0.51,0.11,0.05,0.31,0.47,0.15,0.12,0.27,0.39,0.16,0.16,0.74,0.77,835
smc,0.77,0.74,0.49,0.63,0.62,0.46,0.5,0.44,0.49,0.34,0.39,0.36,0.15,0.15,0.76,0.8,835
mch,0.81,0.8,0.37,0.53,0.13,0.15,0.28,0.23,0.13,0.14,0.22,0.18,0.11,0.11,0.75,0.76,836
mhw,0.7,0.72,0.3,0.34,0.24,0.17,0.24,0.45,0.23,0.17,0.25,0.4,0.16,0.16,0.73,0.76,836
smc,0.77,0.75,0.25,0.34,0.17,0.46,0.24,0.18,0.16,0.37,0.24,0.17,0.15,0.15,0.77,0.82,836
mch,0.83,0.81,0.4,0.53,0.05,0.09,0.31,0.21,0.08,0.11,0.29,0.18,0.11,0.11,0.77,0.77,837
mhw,0.69,0.72,0.3,0.33,0.29,0.16,0.26,0.59,0.25,0.15,0.25,0.51,0.16,0.16,0.74,0.78,837
smc,0.77,0.74,0.47,0.57,0.35,0.56,0.21,0.25,0.28,0.45,0.2,0.22,0.15,0.15,0.79,0.84,837
mch,0.83,0.81,0.41,0.53,0.19,0.13,0.29,0.17,0.17,0.13,0.26,0.17,0.11,0.11,0.8,0.78,838
mhw,0.67,0.71,0.56,0.65,0.37,0.25,0.29,0.42,0.3,0.24,0.27,0.35,0.16,0.16,0.71,0.78,838
smc,0.78,0.75,0.51,0.62,0.22,0.42,0.15,0.24,0.2,0.32,0.18,0.24,0.15,0.15,0.79,0.8,838
mch,0.83,0.8,0.28,0.36,0.33,0.09,0.28,0.1,0.24,0.09,0.25,0.12,0.11,0.11,0.8,0.74,839
mhw,0.73,0.75,0.28,0.36,0.2,0.16,0.24,0.36,0.2,0.16,0.21,0.31,0.16,0.16,0.75,0.76,839
smc,0.78,0.77,0.23,0.31,0.16,0.52,0.25,0.26,0.17,0.36,0.25,0.2,0.15,0.15,0.76,0.81,839
mch,0.84,0.82,0.48,0.6,0.16,0.1,0.33,0.35,0.16,0.12,0.27,0.27,0.11,0.11,0.77,0.76,840
mhw,0.73,0.74,0.28,0.35,0.25,0.12,0.29,0.47,0.22,0.16,0.24,0.38,0.16,0.16,0.77,0.77,840
smc,0.79,0.77,0.31,0.38,0.15,0.42,0.21,0.17,0.14,0.35,0.21,0.18,0.15,0.15,0.79,0.82,840
mch,0.83,0.8,0.3,0.39,0.29,0.1,0.26,0.07,0.24,0.1,0.24,0.1,0.11,0.11,0.79,0.73,841
mhw,0.73,0.74,0.26,0.33,0.12,0.15,0.27,0.42,0.13,0.14,0.23,0.35,0.16,0.16,0.77,0.79,841
smc,0.78,0.76,0.47,0.62,0.42,0.6,0.3,0.34,0.31,0.43,0.26,0.28,0.15,0.15,0.78,0.81,841
mch,0.84,0.81,0.54,0.65,0.37,0.25,0.46,0.32,0.26,0.19,0.39,0.27,0.11,0.11,0.78,0.78,842
mhw,0.7,0.72,0.35,0.43,0.19,0.12,0.35,0.57,0.2,0.15,0.28,0.47,0.16,0.16,0.76,0.8,842
smc,0.76,0.73,0.31,0.4,0.58,0.23,0.53,0.32,0.49,0.23,0.41,0.33,0.15,0.15,0.77,0.79,842
mch,0.84,0.82,0.43,0.59,0.05,0.07,0.22,0.23,0.09,0.11,0.2,0.21,0.11,0.11,0.76,0.76,843
mhw,0.66,0.7,0.33,0.41,0.37,0.21,0.25,0.44,0.29,0.19,0.22,0.37,0.16,0.16,0.73,0.77,843
smc,0.77,0.76,0.26,0.29,0.1,0.47,0.24,0.26,0.14,0.42,0.23,0.24,0.15,0.15,0.8,0.84,843
mch,0.82,0.81,0.37,0.48,0.25,0.09,0.29,0.11,0.18,0.1,0.22,0.12,0.11,0.11,0.78,0.77,844
mhw,0.7,0.72,0.26,0.27,0.21,0.14,0.22,0.35,0.22,0.17,0.22,0.33,0.16,0.16,0.74,0.77,844
smc,0.78,0.74,0.6,0.68,0.44,0.57,0.26,0.24,0.37,0.47,0.25,0.22,0.15,0.15,0.78,0.83,844
mch,0.83,0.81,0.3,0.4,0.25,0.1,0.4,0.2,0.2,0.1,0.32,0.18,0.11,0.11,0.79,0.78,845
mhw,0.69,0.73,0.49,0.58,0.43,0.26,0.22,0.37,0.33,0.23,0.21,0.31,0.16,0.16,0.71,0.76,845
smc,0.78,0.76,0.34,0.45,0.21,0.53,0.34,0.4,0.2,0.36,0.28,0.3,0.15,0.15,0.77,0.8,845
mch,0.83,0.81,0.49,0.6,0.3,0.2,0.53,0.43,0.25,0.19,0.45,0.37,0.11,0.11,0.81,0.78,846
mhw,0.7,0.72,0.45,0.54,0.06,0.08,0.39,0.57,0.14,0.14,0.3,0.44,0.16,0.16,0.74,0.79,846
smc,0.8,0.76,0.5,0.64,0.37,0.4,0.15,0.21,0.3,0.27,0.15,0.2,0.15,0.15,0.81,0.82,846
mch,0.84,0.82,0.35,0.49,0.12,0.09,0.23,0.29,0.14,0.13,0.21,0.23,0.11,0.11,0.76,0.75,847
mhw,0.74,0.73,0.22,0.24,0.25,0.14,0.23,0.46,0.21,0.16,0.22,0.36,0.16,0.16,0.77,0.78,847
smc,0.77,0.74,0.28,0.35,0.32,0.39,0.35,0.29,0.24,0.3,0.3,0.26,0.15,0.15,0.73,0.77,847
mch,0.83,0.78,0.08,0.04,0.28,0,0.35,-0.05,0.23,0.06,0.3,0.04,0.11,0.11,0.79,0.75,848
mhw,0.71,0.73,0.25,0.3,0.2,0.1,0.24,0.41,0.17,0.12,0.22,0.34,0.16,0.16,0.75,0.8,848
smc,0.78,0.75,0.49,0.64,0.42,0.61,0.36,0.4,0.31,0.43,0.3,0.32,0.15,0.15,0.78,0.81,848
mch,0.84,0.82,0.45,0.6,0.29,0.16,0.51,0.3,0.21,0.14,0.4,0.23,0.11,0.11,0.8,0.8,849
mhw,0.68,0.72,0.25,0.32,0.28,0.19,0.14,0.35,0.21,0.17,0.16,0.3,0.16,0.16,0.74,0.78,849
smc,0.77,0.75,0.53,0.62,0.33,0.55,0.31,0.55,0.3,0.47,0.31,0.49,0.15,0.15,0.79,0.83,849
mch,0.84,0.82,0.39,0.52,0.33,0.14,0.34,0.16,0.24,0.13,0.26,0.15,0.11,0.11,0.81,0.78,850
mhw,0.69,0.72,0.42,0.5,0.24,0.12,0.13,0.34,0.24,0.16,0.17,0.29,0.16,0.16,0.73,0.8,850
smc,0.78,0.75,0.52,0.62,0.49,0.37,0.36,0.43,0.38,0.31,0.31,0.36,0.15,0.15,0.79,0.81,850
mch,0.84,0.82,0.31,0.41,0.09,0.09,0.43,0.15,0.1,0.1,0.33,0.14,0.11,0.11,0.79,0.77,851
mhw,0.69,0.72,0.24,0.28,0.14,0.05,0.21,0.53,0.17,0.1,0.2,0.43,0.16,0.16,0.74,0.79,851
smc,0.77,0.74,0.52,0.67,0.4,0.53,0.27,0.34,0.3,0.41,0.23,0.29,0.15,0.15,0.8,0.8,851
mch,0.84,0.81,0.34,0.48,0.34,0.22,0.51,0.27,0.24,0.17,0.39,0.21,0.11,0.11,0.79,0.79,852
mhw,0.67,0.72,0.28,0.33,0.22,0.18,0.24,0.45,0.18,0.16,0.21,0.37,0.16,0.16,0.74,0.77,852
smc,0.77,0.74,0.6,0.69,0.35,0.55,0.45,0.62,0.33,0.47,0.41,0.56,0.15,0.15,0.78,0.82,852
mch,0.83,0.81,0.4,0.52,0.24,0.13,0.41,0.26,0.2,0.13,0.34,0.23,0.11,0.11,0.79,0.78,853
mhw,0.68,0.72,0.55,0.64,0.36,0.22,0.24,0.37,0.31,0.23,0.25,0.33,0.16,0.16,0.7,0.76,853
smc,0.78,0.75,0.47,0.58,0.24,0.49,0.31,0.37,0.22,0.35,0.27,0.31,0.15,0.15,0.78,0.81,853
mch,0.83,0.81,0.4,0.52,0.29,0.14,0.28,0.14,0.23,0.13,0.25,0.14,0.11,0.11,0.79,0.74,854
mhw,0.73,0.74,0.23,0.25,0.14,0.15,0.25,0.4,0.14,0.15,0.23,0.33,0.16,0.16,0.77,0.79,854
smc,0.78,0.75,0.47,0.61,0.43,0.61,0.32,0.39,0.32,0.43,0.27,0.31,0.15,0.15,0.78,0.81,854
mch,0.84,0.82,0.47,0.58,0.16,0.11,0.44,0.39,0.15,0.12,0.35,0.31,0.11,0.11,0.78,0.78,855
mhw,0.71,0.73,0.35,0.43,0.3,0.07,0.25,0.54,0.22,0.12,0.24,0.45,0.16,0.16,0.74,0.78,855
smc,0.77,0.74,0.47,0.6,0.34,0.31,0.29,0.31,0.27,0.24,0.24,0.27,0.15,0.15,0.78,0.81,855
mch,0.84,0.82,0.44,0.59,0.2,0.13,0.31,0.28,0.16,0.12,0.26,0.24,0.11,0.11,0.78,0.78,856
mhw,0.66,0.71,0.34,0.44,0.35,0.2,0.19,0.32,0.26,0.18,0.18,0.27,0.16,0.16,0.73,0.76,856
smc,0.77,0.75,0.45,0.55,0.25,0.54,0.31,0.6,0.24,0.46,0.29,0.52,0.15,0.15,0.79,0.83,856
mch,0.84,0.82,0.42,0.57,0.11,0.12,0.39,0.27,0.13,0.12,0.34,0.23,0.11,0.11,0.77,0.78,857
mhw,0.67,0.7,0.31,0.36,0.42,0.22,0.25,0.53,0.32,0.19,0.22,0.44,0.16,0.16,0.73,0.77,857
smc,0.77,0.74,0.41,0.49,0.16,0.52,0.21,0.34,0.2,0.44,0.2,0.28,0.15,0.15,0.79,0.83,857
mch,0.83,0.81,0.45,0.58,0.2,0.14,0.34,0.29,0.16,0.13,0.26,0.22,0.11,0.11,0.78,0.78,858
mhw,0.71,0.74,0.24,0.26,0.26,0.11,0.19,0.43,0.22,0.13,0.2,0.36,0.16,0.16,0.74,0.78,858
smc,0.79,0.77,0.24,0.29,0.19,0.42,0.32,0.24,0.16,0.35,0.28,0.22,0.15,0.15,0.78,0.82,858
mch,0.82,0.78,0.32,0.44,0.09,0.13,0.18,0.01,0.11,0.13,0.16,0.06,0.11,0.11,0.75,0.77,859
mhw,0.71,0.72,0.32,0.35,0.21,0.16,0.28,0.55,0.21,0.16,0.27,0.47,0.16,0.16,0.75,0.78,859
smc,0.77,0.75,0.27,0.35,0.2,0.51,0.21,0.21,0.16,0.4,0.22,0.19,0.15,0.15,0.77,0.84,859
mch,0.82,0.8,0.48,0.62,0.26,0.17,0.25,0.16,0.21,0.15,0.24,0.18,0.11,0.11,0.79,0.73,860
mhw,0.72,0.73,0.26,0.31,0.13,0.04,0.32,0.45,0.15,0.11,0.26,0.36,0.16,0.16,0.73,0.8,860
smc,0.78,0.75,0.67,0.77,0.52,0.59,0.44,0.46,0.39,0.45,0.35,0.37,0.15,0.15,0.79,0.82,860
mch,0.84,0.82,0.37,0.5,0.16,0.08,0.31,0.19,0.17,0.1,0.28,0.17,0.11,0.11,0.77,0.78,861
mhw,0.71,0.75,0.25,0.32,0.2,0.18,0.08,0.25,0.18,0.17,0.12,0.23,0.16,0.16,0.76,0.74,861
smc,0.79,0.77,0.29,0.42,0.22,0.39,0.2,0.13,0.17,0.3,0.21,0.14,0.15,0.15,0.78,0.77,861
mch,0.83,0.81,0.39,0.52,0.19,0.11,0.32,0.24,0.17,0.12,0.29,0.23,0.11,0.11,0.79,0.77,862
mhw,0.67,0.71,0.65,0.74,0.4,0.3,0.27,0.33,0.32,0.26,0.26,0.29,0.16,0.16,0.71,0.76,862
smc,0.77,0.75,0.44,0.55,0.2,0.45,0.15,0.23,0.19,0.32,0.19,0.23,0.15,0.15,0.78,0.8,862
mch,0.83,0.81,0.49,0.62,0.25,0.18,0.24,0.14,0.2,0.14,0.21,0.15,0.11,0.11,0.79,0.77,863
mhw,0.72,0.73,0.27,0.31,0.19,0.06,0.3,0.41,0.18,0.12,0.26,0.35,0.16,0.16,0.73,0.79,863
smc,0.78,0.75,0.62,0.72,0.4,0.52,0.48,0.46,0.31,0.39,0.37,0.37,0.15,0.15,0.79,0.83,863
mch,0.84,0.82,0.44,0.56,0.34,0.2,0.45,0.27,0.25,0.17,0.35,0.23,0.11,0.11,0.79,0.8,864
mhw,0.71,0.73,0.28,0.33,0.16,0.1,0.15,0.3,0.2,0.15,0.18,0.3,0.16,0.16,0.74,0.77,864
smc,0.78,0.74,0.51,0.58,0.44,0.57,0.15,0.13,0.36,0.45,0.2,0.16,0.15,0.15,0.78,0.83,864
mch,0.84,0.82,0.54,0.66,0.33,0.22,0.46,0.34,0.24,0.18,0.37,0.28,0.11,0.11,0.79,0.8,865
mhw,0.7,0.73,0.24,0.27,0.23,0.13,0.03,0.29,0.23,0.17,0.12,0.29,0.16,0.16,0.74,0.77,865
smc,0.78,0.75,0.7,0.8,0.6,0.61,0.44,0.5,0.47,0.48,0.38,0.41,0.15,0.15,0.78,0.81,865
mch,0.84,0.82,0.44,0.6,0.19,0.15,0.45,0.3,0.17,0.13,0.37,0.24,0.11,0.11,0.78,0.78,866
mhw,0.66,0.7,0.3,0.36,0.41,0.22,0.22,0.42,0.29,0.19,0.2,0.36,0.16,0.16,0.73,0.75,866
smc,0.76,0.74,0.42,0.49,0.16,0.51,0.26,0.47,0.2,0.44,0.25,0.39,0.15,0.15,0.79,0.83,866
mch,0.84,0.81,0.39,0.5,0.25,0.16,0.37,0.39,0.22,0.16,0.3,0.32,0.11,0.11,0.78,0.78,867
mhw,0.69,0.72,0.42,0.48,0.09,0.02,0.36,0.43,0.16,0.12,0.31,0.35,0.16,0.16,0.75,0.8,867
smc,0.8,0.77,0.46,0.55,0.25,0.3,0.1,0.17,0.22,0.23,0.14,0.19,0.15,0.15,0.81,0.82,867
mch,0.84,0.81,0.43,0.53,0.11,0.12,0.34,0.23,0.13,0.13,0.34,0.22,0.11,0.11,0.75,0.76,868
mhw,0.69,0.71,0.42,0.52,0.13,0.09,0.36,0.52,0.16,0.16,0.3,0.44,0.16,0.16,0.75,0.79,868
smc,0.78,0.74,0.59,0.71,0.6,0.53,0.4,0.35,0.46,0.41,0.32,0.3,0.15,0.15,0.79,0.82,868
mch,0.84,0.82,0.55,0.66,0.19,0.13,0.44,0.39,0.18,0.14,0.35,0.3,0.11,0.11,0.78,0.78,869
mhw,0.72,0.74,0.31,0.38,0.3,0.1,0.16,0.45,0.22,0.13,0.18,0.39,0.16,0.16,0.75,0.76,869
smc,0.79,0.76,0.45,0.56,0.2,0.3,0.26,0.29,0.19,0.24,0.23,0.25,0.15,0.15,0.79,0.79,869
mch,0.83,0.81,0.43,0.59,0.32,0.17,0.5,0.27,0.23,0.13,0.38,0.2,0.11,0.11,0.78,0.79,870
mhw,0.68,0.72,0.29,0.33,0.22,0.18,0.25,0.43,0.18,0.17,0.22,0.36,0.16,0.16,0.74,0.77,870
smc,0.77,0.75,0.62,0.71,0.39,0.56,0.39,0.55,0.35,0.48,0.35,0.49,0.15,0.15,0.79,0.83,870
mch,0.84,0.81,0.46,0.57,0.34,0.19,0.42,0.24,0.25,0.17,0.36,0.23,0.11,0.11,0.78,0.76,871
mhw,0.7,0.72,0.36,0.41,0.2,0.08,0.34,0.57,0.2,0.14,0.3,0.47,0.16,0.16,0.75,0.79,871
smc,0.76,0.73,0.41,0.53,0.58,0.35,0.53,0.43,0.5,0.31,0.42,0.39,0.15,0.15,0.76,0.77,871
mch,0.83,0.81,0.37,0.48,0.31,0.17,0.37,0.22,0.22,0.14,0.28,0.19,0.11,0.11,0.78,0.78,872
