vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr,fold
mhw,0.68,0.7,0.41,0.5,0.21,0.07,0.4,0.43,0.19,0.14,0.34,0.38,0.16,0.16,0.71,0.75,370
smc,0.77,0.74,0.5,0.63,0.61,0.43,0.45,0.4,0.47,0.34,0.37,0.35,0.15,0.15,0.76,0.8,370
mch,0.85,0.82,0.45,0.59,0.37,0.22,0.53,0.35,0.27,0.18,0.43,0.29,0.11,0.11,0.81,0.8,371
mhw,0.69,0.71,0.33,0.38,0.23,0.03,0.3,0.36,0.2,0.11,0.26,0.32,0.16,0.16,0.73,0.77,371
smc,0.77,0.75,0.34,0.43,0.6,0.24,0.52,0.43,0.46,0.21,0.4,0.36,0.15,0.15,0.78,0.8,371
mch,0.84,0.81,0.47,0.6,0.11,0.09,0.17,0.19,0.13,0.11,0.2,0.2,0.11,0.11,0.76,0.75,372
mhw,0.68,0.72,0.29,0.36,0.41,0.21,0.17,0.4,0.31,0.2,0.18,0.33,0.16,0.16,0.72,0.78,372
smc,0.77,0.74,0.57,0.65,0.4,0.54,0.34,0.54,0.35,0.46,0.33,0.46,0.15,0.15,0.78,0.81,372
mch,0.85,0.82,0.31,0.39,0.13,0.09,0.36,0.33,0.13,0.11,0.29,0.25,0.11,0.11,0.78,0.78,373
mhw,0.71,0.72,0.3,0.37,0.14,0.07,0.3,0.57,0.14,0.1,0.25,0.46,0.16,0.16,0.75,0.8,373
smc,0.8,0.75,0.19,0.19,0.09,0.53,0.17,0.29,0.13,0.42,0.16,0.25,0.15,0.15,0.8,0.79,373
mch,0.85,0.82,0.44,0.57,0.37,0.23,0.51,0.49,0.28,0.18,0.41,0.39,0.11,0.11,0.81,0.81,374
mhw,0.69,0.71,0.37,0.42,0.16,0.01,0.36,0.42,0.17,0.1,0.3,0.35,0.16,0.16,0.72,0.79,374
smc,0.79,0.75,0.34,0.45,0.47,0.22,0.21,0.28,0.34,0.17,0.18,0.25,0.15,0.15,0.8,0.82,374
mch,0.83,0.81,0.36,0.47,0.27,0.1,0.37,0.21,0.22,0.11,0.3,0.19,0.11,0.11,0.79,0.77,375
mhw,0.7,0.73,0.3,0.37,0.44,0.17,0.11,0.39,0.32,0.16,0.14,0.33,0.16,0.16,0.72,0.77,375
smc,0.78,0.75,0.48,0.62,0.37,0.59,0.36,0.42,0.28,0.41,0.29,0.33,0.15,0.15,0.78,0.81,375
mch,0.83,0.81,0.38,0.51,0.29,0.15,0.31,0.12,0.23,0.13,0.27,0.13,0.11,0.11,0.8,0.78,376
mhw,0.72,0.73,0.29,0.32,0.21,0.07,0.27,0.41,0.18,0.13,0.25,0.35,0.16,0.16,0.73,0.78,376
smc,0.78,0.75,0.72,0.81,0.55,0.58,0.39,0.39,0.41,0.44,0.32,0.33,0.15,0.15,0.8,0.81,376
mch,0.81,0.78,0.3,0.4,0.17,0.08,0.28,0.08,0.17,0.1,0.23,0.1,0.11,0.11,0.76,0.77,377
mhw,0.72,0.73,0.26,0.29,0.25,0.11,0.29,0.42,0.23,0.15,0.26,0.36,0.16,0.16,0.74,0.79,377
smc,0.77,0.75,0.23,0.28,0.32,0.34,0.32,0.24,0.25,0.26,0.27,0.21,0.15,0.15,0.7,0.78,377
mch,0.86,0.83,0.38,0.52,0.26,0.15,0.45,0.35,0.2,0.13,0.34,0.25,0.11,0.11,0.79,0.78,378
mhw,0.7,0.73,0.27,0.26,-0,0.09,0.06,0.4,0.06,0.11,0.12,0.32,0.16,0.16,0.77,0.79,378
smc,0.77,0.74,0.52,0.62,0.3,0.38,0.13,0.28,0.23,0.31,0.16,0.26,0.15,0.15,0.79,0.82,378
mch,0.84,0.82,0.44,0.57,0.17,0.1,0.32,0.29,0.18,0.13,0.28,0.24,0.11,0.11,0.77,0.78,379
mhw,0.72,0.75,0.25,0.31,0.24,0.16,0.13,0.39,0.19,0.17,0.15,0.31,0.16,0.16,0.77,0.76,379
smc,0.78,0.76,0.43,0.56,0.18,0.33,0.29,0.25,0.15,0.28,0.24,0.2,0.15,0.15,0.79,0.82,379
mch,0.84,0.81,0.4,0.51,0.05,0.09,0.39,0.27,0.1,0.11,0.35,0.22,0.11,0.11,0.75,0.77,380
mhw,0.7,0.72,0.39,0.48,0.2,0.18,0.34,0.54,0.18,0.18,0.3,0.46,0.16,0.16,0.77,0.8,380
smc,0.78,0.75,0.58,0.7,0.54,0.57,0.28,0.32,0.39,0.43,0.24,0.27,0.15,0.15,0.79,0.83,380
mch,0.84,0.82,0.42,0.57,0.06,0.07,0.23,0.24,0.1,0.11,0.2,0.22,0.11,0.11,0.76,0.76,381
mhw,0.66,0.7,0.34,0.42,0.37,0.21,0.24,0.43,0.29,0.19,0.22,0.37,0.16,0.16,0.73,0.77,381
smc,0.77,0.76,0.27,0.31,0.11,0.48,0.24,0.28,0.14,0.43,0.23,0.25,0.15,0.15,0.8,0.84,381
mch,0.84,0.82,0.52,0.63,0.27,0.18,0.39,0.28,0.21,0.16,0.33,0.25,0.11,0.11,0.79,0.79,382
mhw,0.7,0.73,0.24,0.28,0.25,0.14,0.08,0.31,0.23,0.17,0.14,0.29,0.16,0.16,0.74,0.78,382
smc,0.77,0.75,0.73,0.81,0.59,0.59,0.53,0.58,0.47,0.47,0.45,0.48,0.15,0.15,0.77,0.8,382
mch,0.84,0.81,0.28,0.41,0.09,0.07,0.39,0.16,0.12,0.11,0.33,0.14,0.11,0.11,0.77,0.78,383
mhw,0.67,0.7,0.31,0.37,0.42,0.23,0.25,0.46,0.31,0.19,0.22,0.39,0.16,0.16,0.73,0.75,383
smc,0.77,0.74,0.38,0.45,0.15,0.53,0.21,0.34,0.18,0.45,0.2,0.28,0.15,0.15,0.79,0.83,383
mch,0.83,0.81,0.39,0.51,0.31,0.16,0.38,0.18,0.22,0.14,0.29,0.17,0.11,0.11,0.79,0.78,384
mhw,0.7,0.72,0.24,0.25,0.23,0.14,0.23,0.38,0.23,0.17,0.23,0.34,0.16,0.16,0.73,0.77,384
smc,0.78,0.74,0.61,0.69,0.45,0.59,0.25,0.27,0.38,0.48,0.25,0.24,0.15,0.15,0.78,0.82,384
mch,0.84,0.82,0.37,0.49,0.14,0.13,0.41,0.15,0.13,0.12,0.34,0.13,0.11,0.11,0.79,0.78,385
mhw,0.72,0.73,0.27,0.33,0.03,0.11,0.25,0.44,0.1,0.12,0.23,0.35,0.16,0.16,0.76,0.79,385
smc,0.78,0.76,0.49,0.63,0.35,0.57,0.41,0.43,0.26,0.41,0.31,0.35,0.15,0.15,0.79,0.8,385
